qtl_combo	tissue	estimate	pval	ci1	ci2	in_frac	ot_frac	qval	logci1	logci2	is_sig
Complex caQTL-eQTL-haQTL	All tissues	2.46473647645028	0.00706401875771097	1.21283939515064	4.49515461527545	3.17919075144509	1.3146767125394	0.0257179654702554	0.278388520647858	2.16837073951166	TRUE
Complex caQTL-eQTL-haQTL	CVPC	2.41431323128905	0.0162779320035536	1.08074442099416	4.71918845807865	3.21428571428571	1.35673204542103	0.0445645075312682	0.112025388790066	2.23853878582241	TRUE
Complex caQTL-eQTL	CVPC	2.28348906947457	0.0297499046736966	0.96560196111966	4.63096662899027	3.05343511450382	1.36044398605177	0.0612498037399637	-0.0504994887046033	2.21131336093629	FALSE
Complex caQTL-haQTL	CVPC	2.26657352463618	7.04588829369146e-06	1.59804340530901	3.15113304616111	2.82051282051282	1.26422913497351	0.000123303045139601	0.676306594607321	1.6558706686635	TRUE
Complex caQTL-eQTL-haQTL	iPSC	2.25023315045675	0.230174186148027	0.265241315742383	8.55606925487449	3.03030303030303	1.36962552011096	0.383623643580044	-1.91462257820726	3.09694816006953	FALSE
Complex caQTL-eQTL	PPC	2.11114154779921	0.0148084993069297	1.09243748893876	3.74707554738205	2.38095238095238	1.1420310805927	0.0445645075312682	0.12755072871603	1.90576506513292	TRUE
Complex caQTL-haQTL	All tissues	2.11067672003377	1.33732899256688e-05	1.52374254214236	2.86124109084064	2.66666666666667	1.28136784536713	0.000155541063385635	0.607619159686792	1.51664106561144	TRUE
Complex caQTL-eQTL	All tissues	1.97162354579616	0.00027473774890413	1.37011071295646	2.75953287474697	2.51700680272109	1.29262926292629	0.00160263686860742	0.454292476090702	1.46442407268377	TRUE
Complex caQTL-eQTL	iPSC	1.83075025077106	0.0260019326766866	1.02229690993279	3.06277335657833	2.41691842900302	1.33468996887718	0.0580069612623188	0.0318142650405094	1.61483861230473	TRUE
Complex caQTL	iPSC	1.79061518114803	0.213356991082037	0.569870941149643	4.30802842186301	2.41545893719807	1.36339800734137	0.383623643580044	-0.811292866215853	2.10702776797533	FALSE
Complex eQTL	CVPC	1.73414936602565	0.256706762150344	0.350723072396614	5.23882635482844	2.36220472440945	1.37587822014052	0.393883807888334	-1.51159575315528	2.38924364349588	FALSE
Complex haQTL	All tissues	1.61593034445401	0.285162783717246	0.585901557270869	3.58030590993238	2.12014134275618	1.32268530072373	0.393883807888334	-0.771269810389574	1.84008286008381	FALSE
Complex haQTL	CVPC	1.61043274193679	0.285288748212961	0.580773203910417	3.59623111481465	2.18978102189781	1.37107474568775	0.393883807888334	-0.783953204014736	1.84648573984088	FALSE
Complex eQTL-haQTL	CVPC	1.58010966461227	0.224991192968356	0.624324625148395	3.3370635197225	2.14723926380368	1.36966054096665	0.383623643580044	-0.679631723953079	1.73857914792763	FALSE
Complex caQTL	PPC	1.56332796551517	0.292599400145619	0.561323145094055	3.51351436823725	1.82370820668693	1.17421007685739	0.393883807888334	-0.833096547570422	1.81291479836031	FALSE
Complex eQTL-haQTL	All tissues	1.53932288482882	0.261524132671392	0.657205142012389	3.08084099306602	2.02020202020202	1.3217130324368	0.393883807888334	-0.605584326822818	1.62332422459251	FALSE
Singleton eQTL	iPSC	1.48738161237023	0.00233136379771028	1.1424884247781	1.93716363503921	1.69869117237538	1.14840989399293	0.0116568189885514	0.192179548565774	0.953945825644049	TRUE
Singleton eQTL	All tissues	1.25190944975625	0.00615215372199735	1.06374617304073	1.47008969151305	1.54526844086377	1.23821546560662	0.0257179654702554	0.0891539416455774	0.55590417788727	TRUE
Complex eQTL	All tissues	1.18491652568359	0.507332390311756	0.585936948976571	2.14699543280546	1.5647226173542	1.32375994271448	0.612297712445223	-0.771182666234389	1.10231912222793	FALSE
Singleton eQTL	PPC	1.1691927095482	0.358218239721931	0.835045551688463	1.62217308676725	1.32028226724334	1.13135762915499	0.464356977417318	-0.260073196219736	0.697927764128614	FALSE
Complex eQTL	iPSC	1.1290606343724	0.659776002855332	0.407549704213907	2.51802859561403	1.54639175257732	1.3720409845719	0.72163000312302	-1.29495207566627	1.33229466689978	FALSE
Singleton eQTL	CVPC	1.11922848145124	0.477615550114708	0.814432824183106	1.51460924525677	1.51345291479821	1.35444151275286	0.597019437643385	-0.29613238719196	0.598945640137977	FALSE
Complex caQTL	All tissues	1.11006005035853	0.631241224588233	0.549079590723584	2.01059943198969	1.46862483311081	1.32493946731235	0.712691705180263	-0.864912807551806	1.00762568480343	FALSE
Complex eQTL-haQTL	iPSC	1.03898707703184	0.621593926704151	0.0258262437708977	6.0401147262289	1.42857142857143	1.3757225433526	0.712691705180263	-5.27501835999136	2.59457595242942	FALSE
Complex eQTL	PPC	0.892288837589951	1	0.106393121582725	3.31903739866812	1.06382978723404	1.190727823575	1	-3.23252321265038	1.7307648856889	FALSE
Complex caQTL-haQTL	iPSC	0.878471537692731	1	0.104880902635563	3.26002106059069	1.21212121212121	1.37750653879686	1	-3.25317608790836	1.70488128467464	FALSE
Singleton caQTL	CVPC	0.738504602655104	0.0177261073435631	0.570577292802586	0.950678829670222	1.14503816793893	1.54424381076885	0.0445645075312682	-0.809505761590158	-0.0729700609526865	TRUE
Singleton caQTL	iPSC	0.723756993698396	0.0178258030125073	0.547727706150227	0.951039817672677	1.13378684807256	1.55980958168743	0.0445645075312682	-0.868469235673802	-0.0724223504825337	TRUE
Singleton caQTL	All tissues	0.715829086799577	1.77761215297869e-05	0.611863111712898	0.836354743221017	1.10054019188906	1.53076030179919	0.000155541063385635	-0.70871917096076	-0.257813097877498	TRUE
Singleton caQTL	PPC	0.708950293849717	0.0265174680056315	0.518069320721916	0.972008634788513	1.03081232492997	1.44794721407625	0.0580069612623188	-0.9487829429783	-0.0409589648924854	TRUE
Singleton haQTL	CVPC	0.677310144532229	0.00734799013435867	0.497712862339326	0.9089080428924	1.03037839758394	1.51393890889689	0.0257179654702554	-1.00661442397976	-0.137793755114852	TRUE
Singleton haQTL	All tissues	0.611786790073633	0.000202347553383257	0.458688191977324	0.80239964412398	0.858877535909966	1.39628679774665	0.0014164328736828	-1.12441432632737	-0.317607128793554	TRUE
Complex haQTL	iPSC	0	1	0	36.4794406541008	0	1.37664881055239	1	-Inf	5.18901170345412	FALSE
Complex caQTL	CVPC	0	0.126726794255076	0	1.2417053981945	0	1.39637432631063	0.246413211051536	-Inf	0.312322926393221	FALSE
Singleton haQTL	iPSC	0	1.8211268078863e-07	0	0.221913262635238	0	1.47113135541056	6.37394382760206e-06	-Inf	-2.17193220217756	FALSE
